1, 0, 0, -2*sqrt(5)/5, 0, -2*sqrt(15)/5, 4/5, 0, 0, -4*sqrt(5)/35, 0, -4*sqrt(15)/35, 0, 0, 0, 0, 9/35, 0, 6*sqrt(5)/35, 0, 3*sqrt(35)/35
0, 0, sqrt(15)/5, 0, 0, 0, 0, 0, 2*sqrt(15)/35, 0, 0, 0, 0, -3*sqrt(70)/70, 0, -9*sqrt(10)/70, 0, 0, 0, 0, 0
0, sqrt(15)/5, 0, 0, 0, 0, 0, 2*sqrt(15)/35, 0, 0, 0, 0, -3*sqrt(35)/35, 0, -3*sqrt(5)/35, 0, 0, 0, 0, 0, 0
1, 0, 0, sqrt(5)/5, 0, -sqrt(15)/5, -2/5, 0, 0, -4*sqrt(5)/35, 0, 4*sqrt(15)/35, 0, 0, 0, 0, -12/35, 0, -6*sqrt(5)/35, 0, 0
0, 0, 0, 0, sqrt(15)/5, 0, 0, 0, 0, 0, -4*sqrt(15)/35, 0, 0, 0, 0, 0, 0, -3*sqrt(10)/70, 0, -3*sqrt(70)/70, 0
1, 0, 0, -2*sqrt(5)/5, 0, 0, -2/5, 0, 0, 8*sqrt(5)/35, 0, 0, 0, 0, 0, 0, 3/35, 0, 0, 0, -3*sqrt(35)/35
0, 0, 0, 0, 0, 0, 3/5, 0, 0, 3*sqrt(5)/35, 0, -3*sqrt(15)/35, 0, 0, 0, 0, -12/35, 0, -6*sqrt(5)/35, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3*sqrt(15)/35, 0, 0, 0, 0, 0, 0, -3*sqrt(10)/70, 0, -3*sqrt(70)/70, 0
0, 0, sqrt(15)/5, 0, 0, 0, 0, 0, 2*sqrt(15)/35, 0, 0, 0, 0, 0, 0, 6*sqrt(10)/35, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 3*sqrt(15)/35, 0, 0, 0, 0, 0, 0, 6*sqrt(5)/35, 0, 0, 0, 0, 0, 0
0, 0, sqrt(15)/5, 0, 0, 0, 0, 0, -4*sqrt(15)/35, 0, 0, 0, 0, 3*sqrt(70)/70, 0, -3*sqrt(10)/70, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 3/5, 0, 0, -6*sqrt(5)/35, 0, 0, 0, 0, 0, 0, 3/35, 0, 0, 0, -3*sqrt(35)/35
0, sqrt(15)/5, 0, 0, 0, 0, 0, -4*sqrt(15)/35, 0, 0, 0, 0, 0, 0, 6*sqrt(5)/35, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 3*sqrt(15)/35, 0, 0, 0, 0, 3*sqrt(70)/70, 0, -3*sqrt(10)/70, 0, 0, 0, 0, 0
0, sqrt(15)/5, 0, 0, 0, 0, 0, 2*sqrt(15)/35, 0, 0, 0, 0, 3*sqrt(35)/35, 0, -3*sqrt(5)/35, 0, 0, 0, 0, 0, 0
1, 0, 0, 4*sqrt(5)/5, 0, 0, 4/5, 0, 0, 8*sqrt(5)/35, 0, 0, 0, 0, 0, 0, 24/35, 0, 0, 0, 0
0, 0, 0, 0, sqrt(15)/5, 0, 0, 0, 0, 0, 2*sqrt(15)/35, 0, 0, 0, 0, 0, 0, 6*sqrt(10)/35, 0, 0, 0
1, 0, 0, sqrt(5)/5, 0, sqrt(15)/5, -2/5, 0, 0, -4*sqrt(5)/35, 0, -4*sqrt(15)/35, 0, 0, 0, 0, -12/35, 0, 6*sqrt(5)/35, 0, 0
0, 0, 0, 0, 0, 0, 3/5, 0, 0, 3*sqrt(5)/35, 0, 3*sqrt(15)/35, 0, 0, 0, 0, -12/35, 0, 6*sqrt(5)/35, 0, 0
0, 0, 0, 0, sqrt(15)/5, 0, 0, 0, 0, 0, 2*sqrt(15)/35, 0, 0, 0, 0, 0, 0, -9*sqrt(10)/70, 0, 3*sqrt(70)/70, 0
1, 0, 0, -2*sqrt(5)/5, 0, 2*sqrt(15)/5, 4/5, 0, 0, -4*sqrt(5)/35, 0, 4*sqrt(15)/35, 0, 0, 0, 0, 9/35, 0, -6*sqrt(5)/35, 0, 3*sqrt(35)/35
