1/9, 0, 0, -sqrt(5)/18, 0, -sqrt(15)/18, 1/9, 0, 0, -sqrt(5)/18, 0, -sqrt(15)/18, 0, 0, 0, 0, 1/8, 0, sqrt(5)/12, 0, sqrt(35)/24
0, 0, sqrt(15)/9, 0, 0, 0, 0, 0, sqrt(15)/9, 0, 0, 0, 0, -sqrt(70)/12, 0, -sqrt(10)/4, 0, 0, 0, 0, 0
0, sqrt(15)/9, 0, 0, 0, 0, 0, sqrt(15)/9, 0, 0, 0, 0, -sqrt(35)/6, 0, -sqrt(5)/6, 0, 0, 0, 0, 0, 0
2/9, 0, 0, sqrt(5)/18, 0, -sqrt(15)/18, -1/9, 0, 0, -sqrt(5)/9, 0, sqrt(15)/9, 0, 0, 0, 0, -1/3, 0, -sqrt(5)/6, 0, 0
0, 0, 0, 0, sqrt(15)/9, 0, 0, 0, 0, 0, -2*sqrt(15)/9, 0, 0, 0, 0, 0, 0, -sqrt(10)/12, 0, -sqrt(70)/12, 0
2/9, 0, 0, -sqrt(5)/9, 0, 0, -1/9, 0, 0, 2*sqrt(5)/9, 0, 0, 0, 0, 0, 0, 1/12, 0, 0, 0, -sqrt(35)/12
0, 0, 0, 0, 0, 0, 1/3, 0, 0, sqrt(5)/6, 0, -sqrt(15)/6, 0, 0, 0, 0, -2/3, 0, -sqrt(5)/3, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, sqrt(15)/3, 0, 0, 0, 0, 0, 0, -sqrt(10)/6, 0, -sqrt(70)/6, 0
0, 0, sqrt(15)/9, 0, 0, 0, 0, 0, sqrt(15)/9, 0, 0, 0, 0, 0, 0, sqrt(10)/3, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, sqrt(15)/3, 0, 0, 0, 0, 0, 0, 2*sqrt(5)/3, 0, 0, 0, 0, 0, 0
0, 0, sqrt(15)/9, 0, 0, 0, 0, 0, -2*sqrt(15)/9, 0, 0, 0, 0, sqrt(70)/12, 0, -sqrt(10)/12, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 1/3, 0, 0, -sqrt(5)/3, 0, 0, 0, 0, 0, 0, 1/6, 0, 0, 0, -sqrt(35)/6
0, sqrt(15)/9, 0, 0, 0, 0, 0, -2*sqrt(15)/9, 0, 0, 0, 0, 0, 0, sqrt(5)/3, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, sqrt(15)/3, 0, 0, 0, 0, sqrt(70)/6, 0, -sqrt(10)/6, 0, 0, 0, 0, 0
0, sqrt(15)/9, 0, 0, 0, 0, 0, sqrt(15)/9, 0, 0, 0, 0, sqrt(35)/6, 0, -sqrt(5)/6, 0, 0, 0, 0, 0, 0
1/9, 0, 0, sqrt(5)/9, 0, 0, 1/9, 0, 0, sqrt(5)/9, 0, 0, 0, 0, 0, 0, 1/3, 0, 0, 0, 0
0, 0, 0, 0, sqrt(15)/9, 0, 0, 0, 0, 0, sqrt(15)/9, 0, 0, 0, 0, 0, 0, sqrt(10)/3, 0, 0, 0
2/9, 0, 0, sqrt(5)/18, 0, sqrt(15)/18, -1/9, 0, 0, -sqrt(5)/9, 0, -sqrt(15)/9, 0, 0, 0, 0, -1/3, 0, sqrt(5)/6, 0, 0
0, 0, 0, 0, 0, 0, 1/3, 0, 0, sqrt(5)/6, 0, sqrt(15)/6, 0, 0, 0, 0, -2/3, 0, sqrt(5)/3, 0, 0
0, 0, 0, 0, sqrt(15)/9, 0, 0, 0, 0, 0, sqrt(15)/9, 0, 0, 0, 0, 0, 0, -sqrt(10)/4, 0, sqrt(70)/12, 0
1/9, 0, 0, -sqrt(5)/18, 0, sqrt(15)/18, 1/9, 0, 0, -sqrt(5)/18, 0, sqrt(15)/18, 0, 0, 0, 0, 1/8, 0, -sqrt(5)/12, 0, sqrt(35)/24
